trans_Te_vs_WT_abscissa,trans_Te_vs_WT_spline,trans_Te_vs_WT_regression,trans_Te_vs_tWT_abscissa,trans_Te_vs_tWT_spline,trans_Te_vs_tWT_regression,trans_p_vs_WT_abscissa,trans_p_vs_WT_spline,trans_p_vs_WT_regression,trans_p_vs_tWT_abscissa,trans_p_vs_tWT_spline,trans_p_vs_tWT_regression,split
64.9697,3.85159,3.78356,-0.29604,3.78536,3.80634,64.9697,2.70345,2.70427,-0.29604,2.70184,2.70266,All
65.8182,3.84722,3.78244,-0.279387,3.78292,3.80489,65.8182,2.70291,2.70433,-0.279387,2.70284,2.70276,All
66.6667,3.83881,3.78131,-0.262734,3.78049,3.80344,66.6667,2.70256,2.70439,-0.262734,2.7039,2.70286,All
67.5152,3.82728,3.78019,-0.24608,3.77835,3.80199,67.5152,2.70238,2.70445,-0.24608,2.70498,2.70297,All
68.3636,3.81348,3.77906,-0.229427,3.7767,3.80054,68.3636,2.70238,2.70451,-0.229427,2.70603,2.70307,All
69.2121,3.79843,3.77793,-0.212774,3.77572,3.79909,69.2121,2.70252,2.70456,-0.212774,2.70702,2.70318,All
70.0606,3.78343,3.77681,-0.196121,3.77561,3.79764,70.0606,2.70266,2.70462,-0.196121,2.70792,2.70328,All
70.9091,3.76915,3.77568,-0.179468,3.77658,3.79619,70.9091,2.70297,2.70468,-0.179468,2.70867,2.70338,All
71.7576,3.75707,3.77455,-0.162815,3.77908,3.79474,71.7576,2.70335,2.70474,-0.162815,2.70922,2.70349,All
72.6061,3.74808,3.77343,-0.146162,3.78345,3.79329,72.6061,2.70376,2.7048,-0.146162,2.70949,2.70359,All
73.4545,3.74284,3.7723,-0.129509,3.78815,3.79184,73.4545,2.7042,2.70485,-0.129509,2.70971,2.7037,All
74.303,3.74126,3.77118,-0.112855,3.7956,3.79039,74.303,2.70464,2.70491,-0.112855,2.70951,2.7038,All
75.1515,3.74256,3.77005,-0.0962024,3.80494,3.78894,75.1515,2.70509,2.70497,-0.0962024,2.70899,2.7039,All
76,3.74574,3.76892,-0.0795492,3.81517,3.78749,76,2.70552,2.70503,-0.0795492,2.70822,2.70401,All
76.8485,3.74964,3.7678,-0.0628961,3.82508,3.78604,76.8485,2.70592,2.70509,-0.0628961,2.70729,2.70411,All
77.697,3.75285,3.76667,-0.046243,3.83344,3.78459,77.697,2.70629,2.70514,-0.046243,2.70627,2.70422,All
78.5455,3.75437,3.76554,-0.0295899,3.83903,3.78314,78.5455,2.70662,2.7052,-0.0295899,2.70526,2.70432,All
79.3939,3.75335,3.76442,-0.0129368,3.84065,3.78169,79.3939,2.70689,2.70526,-0.0129368,2.70435,2.70442,All
80.2424,3.74941,3.76329,0.00371634,3.8372,3.78024,80.2424,2.70711,2.70532,0.00371634,2.7036,2.70453,All
81.0909,3.74275,3.76217,0.0203695,3.82849,3.77879,81.0909,2.70727,2.70538,0.0203695,2.70308,2.70463,All
81.9394,3.73354,3.76104,0.0370226,3.81591,3.77734,81.9394,2.70737,2.70543,0.0370226,2.70278,2.70474,All
82.7879,3.72082,3.75991,0.0536757,3.80123,3.77589,82.7879,2.70736,2.70549,0.0536757,2.70272,2.70484,All
83.6364,3.70783,3.75879,0.0703288,3.78601,3.77444,83.6364,2.70734,2.70555,0.0703288,2.70279,2.70494,All
84.4848,3.69484,3.75766,0.0869819,3.77198,3.77299,84.4848,2.70731,2.70561,0.0869819,2.70303,2.70505,All
85.3333,3.6811,3.75653,0.103635,3.7611,3.77154,85.3333,2.70725,2.70567,0.103635,2.70346,2.70515,All
86.1818,3.6665,3.75541,0.120288,3.75511,3.7701,86.1818,2.70708,2.70572,0.120288,2.70404,2.70526,All
87.0303,3.65299,3.75428,0.136941,3.75381,3.76865,87.0303,2.70681,2.70578,0.136941,2.70472,2.70536,All
87.8788,3.63949,3.75316,0.153594,3.75493,3.7672,87.8788,2.70654,2.70584,0.153594,2.70546,2.70546,All
88.7273,3.62599,3.75203,0.170248,3.75578,3.76575,88.7273,2.70626,2.7059,0.170248,2.70618,2.70557,All
89.5758,3.61248,3.7509,0.186901,3.75306,3.7643,89.5758,2.70599,2.70596,0.186901,2.70681,2.70567,All
90.4242,3.60259,3.74978,0.203554,3.74463,3.76285,90.4242,2.70564,2.70601,0.203554,2.70731,2.70578,All
91.2727,3.59632,3.74865,0.220207,3.73007,3.7614,91.2727,2.7052,2.70607,0.220207,2.70764,2.70588,All
92.1212,3.59005,3.74752,0.23686,3.70991,3.75995,92.1212,2.70477,2.70613,0.23686,2.70774,2.70598,All
92.9697,3.58377,3.7464,0.253513,3.68714,3.7585,92.9697,2.70433,2.70619,0.253513,2.70768,2.70609,All
93.8182,3.59148,3.74527,0.270166,3.66434,3.75705,93.8182,2.70376,2.70625,0.270166,2.70759,2.70619,All
94.6667,3.59969,3.74415,0.286819,3.6436,3.7556,94.6667,2.70319,2.7063,0.286819,2.70721,2.7063,All
95.5152,3.60791,3.74302,0.303472,3.62619,3.75415,95.5152,2.70262,2.70636,0.303472,2.70668,2.7064,All
96.3636,3.61613,3.74189,0.320126,3.60878,3.7527,96.3636,2.70205,2.70642,0.320126,2.70616,2.7065,All
97.2121,3.63368,3.74077,0.336779,3.6021,3.75125,97.2121,2.70143,2.70648,0.336779,2.70543,2.70661,All
98.0606,3.67919,3.73964,0.353432,3.60041,3.7498,98.0606,2.7007,2.70654,0.353432,2.7046,2.70671,All
98.9091,3.72471,3.73851,0.370085,3.61674,3.74835,98.9091,2.69997,2.70659,0.370085,2.7036,2.70682,All
99.7576,3.77023,3.73739,0.386738,3.64033,3.7469,99.7576,2.69924,2.70665,0.386738,2.70252,2.70692,All
100.606,3.81574,3.73626,0.403391,3.67424,3.74545,100.606,2.69851,2.70671,0.403391,2.70139,2.70702,All
101.455,3.86126,3.73514,0.420044,3.75385,3.744,101.455,2.69778,2.70677,0.420044,2.70001,2.70713,All
102.303,3.90678,3.73401,0.436697,3.83346,3.74255,102.303,2.69705,2.70683,0.436697,2.69863,2.70723,All
103.152,3.95229,3.73288,0.453351,3.91307,3.7411,103.152,2.69632,2.70688,0.453351,2.69725,2.70734,All
104,3.99781,3.73176,0.470004,3.99268,3.73965,104,2.69559,2.70694,0.470004,2.69587,2.70744,All
